[00:02:24] *** Joins: rgherdt__ (~rgherdt@2a01:598:d036:698b:4f59:ac7:3ad8:3320)
[00:04:55] *** Quits: rgherdt_ (~rgherdt@2a01:598:d038:d67f:f4bd:95ae:c30:7222) (Ping timeout: 250 seconds)
[00:05:48] *** Quits: Brucio-92 (~Brucio-92@2001:638:504:20e6:6ac3:87e0:e782:f3fc) (Ping timeout: 250 seconds)
[00:09:30] *** Quits: humasect (~humasect@2001:1970:57e0:4100::1ae0) (Remote host closed the connection)
[00:18:58] *** Quits: MatSharrow (~matthew@36.115.9.51.dyn.plus.net) (Quit: Konversation terminated!)
[00:19:02] *** Quits: tophullyte (tophullyte@gateway/vpn/protonvpn/tophullyte) (Quit: Leaving)
[00:21:21] *** Quits: aeth (~aeth@user/aeth) (Ping timeout: 256 seconds)
[00:22:50] *** Joins: aeth (~aeth@user/aeth)
[00:23:27] *** Quits: Ilyu (~quassel@166.215.82.79.rev.sfr.net) (Quit: https://quassel-irc.org - Chat comfortably. Anywhere.)
[00:25:28] * moon-child wonders why no one writes (loop #:for x #:from 0 #:below 20 ...)
[00:29:51] <pjb> moon-child: I wonders why people who write (defpackage #:foo) don't write loops like that!
[00:30:16] *** Joins: aartaka (aartaka@gateway/vpn/protonvpn/aartaka)
[00:41:32] *** Quits: gabot (~gabot@lambda.ccs.neu.edu) (*.net *.split)
[00:41:32] *** Quits: gaze___ (sid387101@id-387101.helmsley.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: santiagopim (~user@84.78.243.45) (*.net *.split)
[00:41:32] *** Quits: HDurer (~hdurer@104.132.45.86) (*.net *.split)
[00:41:32] *** Quits: amb007 (~a_bakic@102.215.76.86.rev.sfr.net) (*.net *.split)
[00:41:32] *** Quits: jackdaniel (~jack@turtleware.eu) (*.net *.split)
[00:41:32] *** Quits: kurfen_ (~kurfen@213.152.188.7) (*.net *.split)
[00:41:32] *** Quits: mega_312 (~mega4453@201.248.193.65) (*.net *.split)
[00:41:32] *** Quits: masinter (~masinter@c-73-158-116-21.hsd1.ca.comcast.net) (*.net *.split)
[00:41:32] *** Quits: xgqt (~xgqt@gentoo/developer/xgqt) (*.net *.split)
[00:41:32] *** Quits: ouestbillie (~gallup@192-222-138-215.qc.cable.ebox.net) (*.net *.split)
[00:41:32] *** Quits: Sheilong (uid293653@ilkley.irccloud.com) (*.net *.split)
[00:41:32] *** Quits: macaw (~macaw@87-205-47-92.adsl.inetia.pl) (*.net *.split)
[00:41:32] *** Quits: tyson2 (~user@bras-base-toroon0624w-grc-17-50-101-91-98.dsl.bell.ca) (*.net *.split)
[00:41:32] *** Quits: abraham (~abraham@143.244.185.86) (*.net *.split)
[00:41:32] *** Quits: Posterdati (~posterdat@host-87-19-166-231.retail.telecomitalia.it) (*.net *.split)
[00:41:33] *** Quits: sham1 (~sham1@212-146-44-107.aboa.net) (*.net *.split)
[00:41:33] *** Quits: MrMobius (~MrMobius@pool-108-31-243-125.washdc.fios.verizon.net) (*.net *.split)
[00:41:33] *** Quits: neirac (~neirac@pc-122-191-45-190.cm.vtr.net) (*.net *.split)
[00:41:33] *** Quits: Alfr (~Alfr@user/alfr) (*.net *.split)
[00:41:33] *** Quits: phoebos (~phoebos@kisslinux/phoebos) (*.net *.split)
[00:41:33] *** Quits: mister_m (~user@c-73-110-154-209.hsd1.il.comcast.net) (*.net *.split)
[00:41:33] *** Quits: Colleen (~fermion@supersolid.equilibrium.tymoon.eu) (*.net *.split)
[00:41:33] *** Quits: silkworks (~silkworks@ctrl-c.club) (*.net *.split)
[00:41:33] *** Quits: APic (~apic@apic.name) (*.net *.split)
